
Box(-inf, inf, (111,), float64)
global_step=43059, return_per_episode=-54.52345657348633
global_step=43133, return_per_episode=-49.82890319824219
global_step=43215, return_per_episode=-74.681884765625
global_step=43244, return_per_episode=-41.726776123046875
global_step=43384, return_per_episode=-66.16020965576172
global_step=43424, return_per_episode=-58.76170349121094
global_step=43458, return_per_episode=-51.91376876831055
global_step=43534, return_per_episode=-81.49535369873047
global_step=43732, return_per_episode=-175.62680053710938
global_step=44732, return_per_episode=-1129.7764892578125
global_step=44759, return_per_episode=-51.31875991821289
global_step=44845, return_per_episode=-132.1327667236328
global_step=44878, return_per_episode=-49.23164367675781
global_step=44896, return_per_episode=-5.548365116119385
global_step=44929, return_per_episode=-40.49031448364258
global_step=45054, return_per_episode=-83.98439025878906
SPS: 430
global_step=45087, return_per_episode=-28.222091674804688
global_step=45151, return_per_episode=-112.16320037841797
global_step=45195, return_per_episode=-55.20553970336914
global_step=45250, return_per_episode=-53.6894645690918
global_step=45285, return_per_episode=-49.639774322509766
global_step=45425, return_per_episode=-119.11390686035156
global_step=45539, return_per_episode=-112.43795776367188
global_step=45638, return_per_episode=-81.78529357910156
global_step=45944, return_per_episode=-385.5489196777344
global_step=46004, return_per_episode=-47.46725082397461
global_step=46089, return_per_episode=-126.89287567138672
global_step=46104, return_per_episode=-11.449162483215332
global_step=46133, return_per_episode=-64.14541625976562
global_step=46156, return_per_episode=-32.96034240722656
global_step=46195, return_per_episode=-79.01838684082031
global_step=46215, return_per_episode=-32.29022216796875
global_step=46281, return_per_episode=-85.98201751708984
global_step=46315, return_per_episode=-23.993932723999023
global_step=46327, return_per_episode=-29.87807273864746
global_step=46388, return_per_episode=-108.70390319824219
global_step=46423, return_per_episode=-40.62123489379883
global_step=46514, return_per_episode=-101.7195053100586
global_step=46566, return_per_episode=-77.72859954833984
global_step=46581, return_per_episode=-22.611568450927734
global_step=46713, return_per_episode=-136.28297424316406
global_step=46807, return_per_episode=-66.28540802001953
global_step=46968, return_per_episode=-203.82839965820312
global_step=46995, return_per_episode=-18.704349517822266
SPS: 429
global_step=47109, return_per_episode=-105.80120086669922
global_step=47397, return_per_episode=-269.5537414550781
global_step=48397, return_per_episode=-941.6068725585938
global_step=48413, return_per_episode=-10.412199974060059
global_step=48520, return_per_episode=-131.39669799804688
global_step=48558, return_per_episode=-40.76716995239258
global_step=48585, return_per_episode=-17.194746017456055
global_step=48638, return_per_episode=-119.53375244140625
global_step=48675, return_per_episode=-31.857255935668945
global_step=48864, return_per_episode=-182.39834594726562
global_step=48908, return_per_episode=-50.974205017089844
global_step=48918, return_per_episode=-20.621726989746094
global_step=48976, return_per_episode=-26.54254150390625
global_step=49067, return_per_episode=-71.12649536132812
global_step=49080, return_per_episode=-14.192098617553711
SPS: 427
global_step=50080, return_per_episode=-947.467041015625
global_step=50177, return_per_episode=-89.85169219970703
global_step=51177, return_per_episode=-894.715576171875
SPS: 427
global_step=51203, return_per_episode=-21.574371337890625
global_step=51273, return_per_episode=-46.4379768371582
global_step=52273, return_per_episode=-774.2952880859375
global_step=52327, return_per_episode=-68.4571533203125
global_step=52359, return_per_episode=-42.665130615234375
global_step=52485, return_per_episode=-138.2083740234375
global_step=52522, return_per_episode=-36.59950637817383
global_step=52560, return_per_episode=-50.31100845336914
global_step=52658, return_per_episode=-55.953006744384766
global_step=52712, return_per_episode=-49.89926528930664
global_step=52770, return_per_episode=-59.39535903930664
global_step=52801, return_per_episode=-35.28569030761719
global_step=52827, return_per_episode=-23.890975952148438
global_step=52900, return_per_episode=-56.22268295288086
global_step=52965, return_per_episode=-40.79664993286133
SPS: 429
global_step=53965, return_per_episode=-797.464599609375
global_step=53984, return_per_episode=-5.374597549438477
global_step=54074, return_per_episode=-104.747314453125
global_step=54128, return_per_episode=-70.18795013427734
global_step=55128, return_per_episode=-874.8021850585938
global_step=55211, return_per_episode=-109.46391296386719
global_step=55242, return_per_episode=-43.80377197265625
global_step=55287, return_per_episode=-70.60273742675781
SPS: 430
global_step=55313, return_per_episode=-27.28904914855957
global_step=55353, return_per_episode=-5.177892684936523
global_step=55441, return_per_episode=-76.22346496582031
global_step=55494, return_per_episode=-41.89968490600586
global_step=55537, return_per_episode=-43.44524002075195
global_step=55561, return_per_episode=-13.686125755310059
global_step=55585, return_per_episode=-19.977554321289062
global_step=55620, return_per_episode=-6.505311965942383
global_step=55650, return_per_episode=-36.47854232788086
global_step=55673, return_per_episode=-21.368728637695312
global_step=55745, return_per_episode=-71.3609848022461
global_step=55785, return_per_episode=-20.80719757080078
global_step=55800, return_per_episode=-12.306078910827637
global_step=55878, return_per_episode=-45.666831970214844
global_step=55912, return_per_episode=-31.489850997924805
global_step=56000, return_per_episode=-52.769134521484375
global_step=56030, return_per_episode=1.117321252822876
global_step=56093, return_per_episode=-79.08793640136719
global_step=56107, return_per_episode=-4.11986780166626
global_step=56130, return_per_episode=-15.493513107299805
global_step=56194, return_per_episode=-103.3221206665039
global_step=56223, return_per_episode=-35.31313705444336
global_step=56246, return_per_episode=-22.296173095703125
global_step=56305, return_per_episode=-21.810462951660156
global_step=56330, return_per_episode=-18.21889877319336
global_step=56344, return_per_episode=-10.135855674743652
