
Box(-inf, inf, (111,), float64)
global_step=42974, return_per_episode=-31.48341178894043
global_step=42996, return_per_episode=-14.208480834960938
SPS: 254
global_step=43044, return_per_episode=-38.8822135925293
global_step=43079, return_per_episode=-28.369081497192383
global_step=43261, return_per_episode=-131.93348693847656
global_step=43411, return_per_episode=-198.9443817138672
global_step=43448, return_per_episode=8.899829864501953
global_step=43499, return_per_episode=-13.534932136535645
global_step=43535, return_per_episode=-20.011180877685547
global_step=43597, return_per_episode=-38.651493072509766
global_step=43622, return_per_episode=-22.029338836669922
global_step=43704, return_per_episode=-109.47957611083984
global_step=43782, return_per_episode=-60.866119384765625
global_step=43812, return_per_episode=-54.16380310058594
global_step=43893, return_per_episode=-86.965576171875
global_step=43925, return_per_episode=-33.12651062011719
global_step=43948, return_per_episode=-24.251768112182617
global_step=44010, return_per_episode=-31.02413558959961
global_step=44056, return_per_episode=-63.973018646240234
global_step=44190, return_per_episode=-160.79803466796875
global_step=44208, return_per_episode=-10.505448341369629
global_step=44282, return_per_episode=-104.72262573242188
global_step=44294, return_per_episode=-5.443861961364746
global_step=44435, return_per_episode=-79.09329986572266
global_step=44461, return_per_episode=4.563767433166504
global_step=44485, return_per_episode=-18.65003204345703
global_step=44515, return_per_episode=16.170381546020508
global_step=44563, return_per_episode=-54.46706008911133
global_step=44581, return_per_episode=-22.953893661499023
global_step=44712, return_per_episode=-126.2849349975586
global_step=44733, return_per_episode=-21.735742568969727
global_step=44752, return_per_episode=-14.975305557250977
global_step=44773, return_per_episode=-26.156728744506836
global_step=44829, return_per_episode=-72.65167236328125
global_step=44870, return_per_episode=-61.887840270996094
SPS: 256
global_step=45870, return_per_episode=-859.0181884765625
global_step=45942, return_per_episode=-70.16055297851562
global_step=45954, return_per_episode=-6.778675556182861
global_step=45967, return_per_episode=-7.628329753875732
global_step=46023, return_per_episode=-10.145371437072754
global_step=46115, return_per_episode=-65.23460388183594
global_step=46136, return_per_episode=2.0226571559906006
global_step=46151, return_per_episode=-29.550146102905273
global_step=46176, return_per_episode=-12.216506958007812
global_step=46219, return_per_episode=-31.0748233795166
global_step=46251, return_per_episode=-40.2099494934082
global_step=46354, return_per_episode=-46.97419357299805
global_step=46411, return_per_episode=-35.68157196044922
global_step=46481, return_per_episode=-88.1711196899414
global_step=46549, return_per_episode=-74.33147430419922
global_step=46597, return_per_episode=-37.895751953125
global_step=46671, return_per_episode=-82.62792205810547
global_step=46697, return_per_episode=0.2620372772216797
global_step=46813, return_per_episode=-102.38907623291016
global_step=46846, return_per_episode=-2.2472753524780273
global_step=46933, return_per_episode=-30.957494735717773
global_step=46963, return_per_episode=-9.427205085754395
global_step=46980, return_per_episode=-38.89337158203125
global_step=46996, return_per_episode=-12.599282264709473
global_step=47027, return_per_episode=-2.7575337886810303
SPS: 258
global_step=47129, return_per_episode=-85.21429443359375
global_step=47175, return_per_episode=-53.862552642822266
global_step=47186, return_per_episode=-14.643189430236816
global_step=47229, return_per_episode=-21.512557983398438
global_step=47320, return_per_episode=-83.11223602294922
global_step=47331, return_per_episode=-7.430972099304199
global_step=47378, return_per_episode=-39.23614501953125
global_step=47435, return_per_episode=-34.35182189941406
global_step=47548, return_per_episode=-82.24695587158203
global_step=47577, return_per_episode=-10.89534854888916
global_step=47642, return_per_episode=-75.95986938476562
global_step=47675, return_per_episode=-61.74086380004883
global_step=47744, return_per_episode=-47.132816314697266
global_step=47774, return_per_episode=-29.367631912231445
global_step=48774, return_per_episode=-846.333984375
global_step=48804, return_per_episode=-33.763694763183594
global_step=48842, return_per_episode=-13.887429237365723
global_step=48929, return_per_episode=-102.40962219238281
SPS: 261
global_step=49929, return_per_episode=-870.6309814453125
global_step=50104, return_per_episode=-112.44652557373047
global_step=50163, return_per_episode=-18.264923095703125
global_step=50269, return_per_episode=-73.77393341064453
global_step=50344, return_per_episode=-85.838623046875
global_step=50458, return_per_episode=-122.86967468261719
global_step=50504, return_per_episode=-51.908592224121094
global_step=50517, return_per_episode=-21.18756675720215
global_step=50531, return_per_episode=-17.32212257385254
global_step=50554, return_per_episode=-23.523481369018555
SPS: 264
global_step=51554, return_per_episode=-884.8239135742188
global_step=51607, return_per_episode=-55.69046401977539
global_step=51615, return_per_episode=-1.1963385343551636
global_step=51699, return_per_episode=-50.02052688598633
global_step=51761, return_per_episode=-56.27642059326172
global_step=51784, return_per_episode=-22.253454208374023
global_step=51823, return_per_episode=-40.123905181884766
global_step=51842, return_per_episode=-34.47966003417969
global_step=51933, return_per_episode=-61.314369201660156
global_step=51972, return_per_episode=-38.048377990722656
global_step=51996, return_per_episode=-50.12564468383789
global_step=52027, return_per_episode=-29.13933563232422
global_step=52153, return_per_episode=-81.39350128173828
global_step=52199, return_per_episode=-49.63773727416992
global_step=52213, return_per_episode=-7.953299522399902
global_step=52229, return_per_episode=-14.3616943359375
global_step=52248, return_per_episode=-19.727401733398438
global_step=52339, return_per_episode=-115.63139343261719
SPS: 266
global_step=53339, return_per_episode=-890.2932739257812
global_step=53404, return_per_episode=-41.47859191894531
global_step=53427, return_per_episode=-19.07101058959961
global_step=53487, return_per_episode=-51.19823455810547
global_step=53550, return_per_episode=-100.248291015625
global_step=53564, return_per_episode=-4.539463043212891
global_step=53580, return_per_episode=-36.40631866455078
global_step=53631, return_per_episode=-44.50605392456055
global_step=53659, return_per_episode=-8.37447738647461
global_step=53671, return_per_episode=-4.679381370544434
global_step=53708, return_per_episode=-1.0078121423721313
global_step=53756, return_per_episode=-62.53323745727539
global_step=53792, return_per_episode=14.590890884399414
global_step=53846, return_per_episode=-35.67036437988281
global_step=53857, return_per_episode=-4.191802978515625
global_step=53932, return_per_episode=-82.50582885742188
global_step=53953, return_per_episode=-35.227420806884766
global_step=53991, return_per_episode=-44.401611328125
global_step=54033, return_per_episode=4.369027137756348
global_step=54056, return_per_episode=-17.325742721557617
global_step=54078, return_per_episode=7.11708927154541
global_step=54105, return_per_episode=-18.145952224731445
global_step=55105, return_per_episode=-898.497802734375
global_step=55116, return_per_episode=-6.007145881652832
global_step=55139, return_per_episode=-10.367300987243652
global_step=55215, return_per_episode=-116.47936248779297
SPS: 268
global_step=55346, return_per_episode=-113.4620590209961
global_step=55480, return_per_episode=-165.02935791015625
global_step=55576, return_per_episode=-151.5999755859375
global_step=55595, return_per_episode=0.9007812738418579
global_step=55609, return_per_episode=-19.080280303955078
global_step=55687, return_per_episode=-83.70375061035156
global_step=55797, return_per_episode=-109.61156463623047
global_step=55850, return_per_episode=-19.60304832458496
global_step=55911, return_per_episode=-58.58159255981445
global_step=55979, return_per_episode=-97.16582489013672
global_step=56009, return_per_episode=-17.6466064453125
global_step=56065, return_per_episode=-20.62650489807129
global_step=56098, return_per_episode=-23.743833541870117
global_step=56140, return_per_episode=-18.1009578704834
global_step=56224, return_per_episode=-70.15078735351562
global_step=56270, return_per_episode=-19.939794540405273
global_step=56299, return_per_episode=-41.54474639892578
global_step=56373, return_per_episode=-80.46813201904297
global_step=56399, return_per_episode=-40.04835510253906
global_step=56436, return_per_episode=-37.421546936035156
global_step=56484, return_per_episode=-3.25557279586792
global_step=56515, return_per_episode=-6.786808490753174
global_step=56537, return_per_episode=-32.29814910888672
global_step=56550, return_per_episode=-20.623075485229492
global_step=56619, return_per_episode=-24.77892303466797
global_step=56633, return_per_episode=-6.611983776092529
global_step=56664, return_per_episode=-34.67070007324219
global_step=56687, return_per_episode=-17.663663864135742
global_step=56738, return_per_episode=-51.30617904663086
global_step=56757, return_per_episode=-9.976410865783691
global_step=56783, return_per_episode=-6.185284614562988
SPS: 270
global_step=57783, return_per_episode=-875.2236938476562
global_step=57805, return_per_episode=-35.55183410644531
global_step=57822, return_per_episode=-12.668034553527832
global_step=57903, return_per_episode=-60.28740692138672
global_step=57934, return_per_episode=-16.283479690551758
global_step=57948, return_per_episode=-21.59187889099121
global_step=57974, return_per_episode=-21.475309371948242
global_step=58065, return_per_episode=-77.14319610595703
global_step=58086, return_per_episode=-10.77973747253418
global_step=58098, return_per_episode=-9.855888366699219
global_step=58130, return_per_episode=-42.16968536376953
global_step=58189, return_per_episode=-53.734004974365234
global_step=59189, return_per_episode=-881.7054443359375
global_step=59215, return_per_episode=-29.116321563720703
global_step=59272, return_per_episode=-92.52510070800781
global_step=59289, return_per_episode=-6.510221004486084
global_step=59310, return_per_episode=-27.0323486328125
global_step=59361, return_per_episode=-21.898168563842773
SPS: 270
global_step=59401, return_per_episode=-7.80023193359375
global_step=59509, return_per_episode=-101.52386474609375
global_step=59580, return_per_episode=-42.75221252441406
global_step=59619, return_per_episode=-50.96843338012695
global_step=59673, return_per_episode=-67.98629760742188
global_step=60673, return_per_episode=-874.6610717773438
global_step=60703, return_per_episode=-27.846750259399414
global_step=60762, return_per_episode=-59.186954498291016
global_step=60838, return_per_episode=-25.34918785095215
global_step=60863, return_per_episode=-23.704029083251953
global_step=60914, return_per_episode=-29.016511917114258
SPS: 272
global_step=61914, return_per_episode=-852.0146484375
global_step=61942, return_per_episode=-21.1019344329834
global_step=62942, return_per_episode=-892.5198974609375
global_step=62994, return_per_episode=-88.22509002685547
global_step=63027, return_per_episode=-42.922515869140625
global_step=63066, return_per_episode=8.46400260925293
global_step=63097, return_per_episode=-49.8627815246582
global_step=63129, return_per_episode=-14.179450988769531
global_step=63196, return_per_episode=-50.621826171875
global_step=63244, return_per_episode=-40.47574234008789
global_step=63334, return_per_episode=-49.2320556640625
global_step=63362, return_per_episode=-15.489728927612305
global_step=63422, return_per_episode=-13.74522590637207
global_step=63459, return_per_episode=-43.65793228149414
SPS: 274
global_step=63496, return_per_episode=-30.590251922607422
global_step=63507, return_per_episode=-13.38240909576416
global_step=63523, return_per_episode=-2.516875743865967
global_step=63598, return_per_episode=-62.551475524902344
global_step=63612, return_per_episode=-11.087789535522461
global_step=63653, return_per_episode=-53.80011749267578
global_step=63663, return_per_episode=-14.909339904785156
global_step=63691, return_per_episode=-26.367734909057617
global_step=63773, return_per_episode=-32.03023910522461
global_step=63803, return_per_episode=-36.33720397949219
global_step=63856, return_per_episode=-46.99283981323242
global_step=63922, return_per_episode=-89.06281280517578
global_step=63949, return_per_episode=-5.994642734527588
global_step=64050, return_per_episode=-36.91736602783203
global_step=64152, return_per_episode=-154.81805419921875
global_step=64173, return_per_episode=-8.14616870880127
global_step=64657, return_per_episode=-398.48858642578125
global_step=64669, return_per_episode=-0.46758225560188293
global_step=64718, return_per_episode=5.914620876312256
global_step=64750, return_per_episode=-28.925477981567383
global_step=64769, return_per_episode=-31.094614028930664
global_step=64809, return_per_episode=-40.342491149902344
global_step=65002, return_per_episode=-84.9293212890625
global_step=65023, return_per_episode=-21.91204071044922
global_step=65067, return_per_episode=-68.15080261230469
global_step=65078, return_per_episode=2.791322708129883
global_step=65135, return_per_episode=-55.11294174194336
global_step=65166, return_per_episode=-19.26438331604004
global_step=65194, return_per_episode=-21.442893981933594
global_step=65221, return_per_episode=-4.433780670166016
SPS: 276
global_step=66221, return_per_episode=-880.5245361328125
global_step=66238, return_per_episode=-16.160118103027344
global_step=66323, return_per_episode=-38.97248077392578
global_step=67323, return_per_episode=-768.0038452148438
global_step=67376, return_per_episode=-94.59980773925781
global_step=67411, return_per_episode=-42.194034576416016
global_step=67433, return_per_episode=-25.704700469970703
global_step=67465, return_per_episode=-57.16957473754883
global_step=67529, return_per_episode=-105.47745513916016
global_step=67564, return_per_episode=-3.0703201293945312
global_step=67578, return_per_episode=-15.735282897949219
SPS: 277
global_step=67594, return_per_episode=-26.455305099487305
global_step=67606, return_per_episode=-10.630332946777344
global_step=67621, return_per_episode=-8.81406021118164
