
Box(-inf, inf, (111,), float64)
global_step=43360, return_per_episode=134.84791564941406
global_step=43379, return_per_episode=50.335323333740234
global_step=43472, return_per_episode=264.18585205078125
global_step=43478, return_per_episode=19.467418670654297
global_step=43501, return_per_episode=65.50595092773438
global_step=43611, return_per_episode=331.10491943359375
global_step=43664, return_per_episode=134.8621826171875
global_step=43826, return_per_episode=281.9156494140625
global_step=43932, return_per_episode=353.9478454589844
global_step=44032, return_per_episode=318.2850036621094
global_step=44087, return_per_episode=160.2633056640625
global_step=44104, return_per_episode=57.410133361816406
global_step=44212, return_per_episode=262.22357177734375
global_step=44223, return_per_episode=33.394981384277344
global_step=44281, return_per_episode=173.5384979248047
global_step=44360, return_per_episode=249.19155883789062
global_step=44429, return_per_episode=266.9091796875
global_step=44485, return_per_episode=131.3194122314453
global_step=44540, return_per_episode=188.73536682128906
global_step=44731, return_per_episode=627.1911010742188
global_step=44777, return_per_episode=174.89541625976562
global_step=44814, return_per_episode=71.30587005615234
global_step=44841, return_per_episode=77.01608276367188
global_step=44880, return_per_episode=116.41468811035156
